agent,expected_payoff,game,mechanism,run_dir
openai/gpt-oss-20b(CoT),0.30265235297305304,PrisonersDilemma,Repetition,outputs/2025/09/16/17:07_repetition__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
deepseek/deepseek-chat-v3.1(CoT),0.43527009750717205,PrisonersDilemma,Repetition,outputs/2025/09/16/17:07_repetition__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
qwen/qwen3-next-80b-a3b-instruct(CoT),0.2922036190189702,PrisonersDilemma,Repetition,outputs/2025/09/16/17:07_repetition__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
openai/gpt-5-nano(CoT),0.47200067429289816,PrisonersDilemma,Repetition,outputs/2025/09/16/17:07_repetition__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
openai/gpt-oss-20b(CoT),0.4375,PrisonersDilemma,NoMechanism,outputs/2025/09/16/17:43_nomechanism__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
deepseek/deepseek-chat-v3.1(CoT),0.4375,PrisonersDilemma,NoMechanism,outputs/2025/09/16/17:43_nomechanism__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
qwen/qwen3-next-80b-a3b-instruct(CoT),0.4375,PrisonersDilemma,NoMechanism,outputs/2025/09/16/17:43_nomechanism__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
openai/gpt-5-nano(CoT),0.4375,PrisonersDilemma,NoMechanism,outputs/2025/09/16/17:43_nomechanism__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
openai/gpt-oss-20b(CoT),0.4375,PrisonersDilemma,Mediation,outputs/2025/09/17/01:26_mediation__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
deepseek/deepseek-chat-v3.1(CoT),0.5625,PrisonersDilemma,Mediation,outputs/2025/09/17/01:26_mediation__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
qwen/qwen3-next-80b-a3b-instruct(CoT),0.5625,PrisonersDilemma,Mediation,outputs/2025/09/17/01:26_mediation__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
openai/gpt-5-nano(CoT),0.5,PrisonersDilemma,Mediation,outputs/2025/09/17/01:26_mediation__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
openai/gpt-oss-20b(CoT),0.7742031249999999,PrisonersDilemma,Disarmament,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
deepseek/deepseek-chat-v3.1(CoT),0.65171875,PrisonersDilemma,Disarmament,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
qwen/qwen3-next-80b-a3b-instruct(CoT),0.535625,PrisonersDilemma,Disarmament,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
openai/gpt-5-nano(CoT),0.6622812499999999,PrisonersDilemma,Disarmament,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
openai/gpt-oss-20b(CoT),0.4237132941622742,PrisonersDilemma,ReputationPrisonersDilemma,outputs/2025/09/17/00:54_reputationprisonersdilemma__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
deepseek/deepseek-chat-v3.1(CoT),0.4237132941622742,PrisonersDilemma,ReputationPrisonersDilemma,outputs/2025/09/17/00:54_reputationprisonersdilemma__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
qwen/qwen3-next-80b-a3b-instruct(CoT),0.4237132941622742,PrisonersDilemma,ReputationPrisonersDilemma,outputs/2025/09/17/00:54_reputationprisonersdilemma__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
openai/gpt-5-nano(CoT),0.4237132941622742,PrisonersDilemma,ReputationPrisonersDilemma,outputs/2025/09/17/00:54_reputationprisonersdilemma__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot
